Gmt time,Open,High,Low,Close,Volume
2025-04-20 22:00:00,3331.873,3338.534,3331.312,3338.361,2073
2025-04-20 22:15:00,3338.313,3353.177,3338.093,3343.552,5743
2025-04-20 22:30:00,3343.555,3348.04,3340.882,3346.78,3134
2025-04-20 22:45:00,3346.868,3348.332,3342.525,3345.986,2405
2025-04-20 23:00:00,3345.995,3351.814,3343.419,3347.877,3644
2025-04-20 23:15:00,3347.84,3349.061,3344.115,3348.687,2146
2025-04-20 23:30:00,3348.679,3350.8,3344.084,3346.446,2143
2025-04-20 23:45:00,3346.432,3349.746,3344.617,3348.102,2361
2025-04-21 00:00:00,3348.181,3356.355,3347.511,3354.274,4326
2025-04-21 00:15:00,3354.262,3356.151,3352.377,3355.55,2711
2025-04-21 00:30:00,3355.549,3370.689,3355.318,3369.811,5039
2025-04-21 00:45:00,3369.82,3369.82,3364.841,3368.702,4455
2025-04-21 01:00:00,3368.742,3376.55,3368.346,3373.676,8878
2025-04-21 01:15:00,3373.701,3375.765,3367.295,3371.027,4585
2025-04-21 01:30:00,3371.071,3377.055,3370.329,3376.207,3623
2025-04-21 01:45:00,3376.242,3378.564,3371.963,3377.52,3410
2025-04-21 02:00:00,3377.557,3382.612,3374.218,3377.523,4045
2025-04-21 02:15:00,3377.524,3382.166,3376.488,3381.524,2995
2025-04-21 02:30:00,3381.563,3384.537,3379.541,3382.734,3492
2025-04-21 02:45:00,3382.773,3385.005,3382.111,3384.822,2447
2025-04-21 03:00:00,3384.781,3385.318,3380.508,3381.281,3036
2025-04-21 03:15:00,3381.213,3383.362,3378.255,3382.393,2942
2025-04-21 03:30:00,3382.337,3385.222,3382.337,3383.135,1954
2025-04-21 03:45:00,3383.099,3384.64,3381.997,3382.496,2025
2025-04-21 04:00:00,3382.489,3382.489,3373.861,3373.939,3176
2025-04-21 04:15:00,3373.914,3376.737,3369.622,3374.515,3069
2025-04-21 04:30:00,3374.468,3377.125,3373.447,3377.125,1463
2025-04-21 04:45:00,3377.119,3377.119,3374.095,3376.373,1452
2025-04-21 05:00:00,3376.383,3385.855,3375.901,3382.664,3734
2025-04-21 05:15:00,3382.698,3383.162,3379.077,3381.757,2251
2025-04-21 05:30:00,3381.715,3384.335,3379.716,3382.722,3288
2025-04-21 05:45:00,3382.715,3385.891,3381.759,3385.403,2412
2025-04-21 06:00:00,3385.362,3389.749,3382.492,3388.066,4347
2025-04-21 06:15:00,3388.113,3390.991,3387.237,3389.503,3136
2025-04-21 06:30:00,3389.457,3391.741,3387.746,3390.989,2930
2025-04-21 06:45:00,3391.001,3393.219,3389.572,3392.187,2482
2025-04-21 07:00:00,3392.162,3394.813,3390.961,3393.71,2598
2025-04-21 07:15:00,3393.748,3396.041,3392.588,3394.458,2451
2025-04-21 07:30:00,3394.433,3395.696,3390.944,3391.69,2509
2025-04-21 07:45:00,3391.643,3391.785,3381.844,3385.082,4236
2025-04-21 08:00:00,3385.055,3387.692,3383.701,3385.436,2308
2025-04-21 08:15:00,3385.453,3390.071,3383.984,3389.274,2355
2025-04-21 08:30:00,3389.311,3390.444,3387.115,3390.343,1941
2025-04-21 08:45:00,3390.277,3394.279,3390.277,3392.801,2601
2025-04-21 09:00:00,3392.799,3396.609,3392.186,3394.49,2158
2025-04-21 09:15:00,3394.455,3397.052,3391.828,3395.907,2425
2025-04-21 09:30:00,3395.842,3396.273,3393.552,3395.424,2234
2025-04-21 09:45:00,3395.407,3395.514,3390.931,3394.917,2222
2025-04-21 10:00:00,3394.925,3396.932,3392.88,3396.888,1836
2025-04-21 10:15:00,3396.855,3397.865,3394.775,3395.936,1953
2025-04-21 10:30:00,3395.834,3396.497,3392.165,3392.775,2151
2025-04-21 10:45:00,3392.788,3396.94,3392.01,3394.991,2190
2025-04-21 11:00:00,3394.929,3394.969,3386.425,3388.937,2269
2025-04-21 11:15:00,3388.863,3392.744,3386.714,3392.611,3275
2025-04-21 11:30:00,3392.656,3403.984,3392.571,3403.442,3991
2025-04-21 11:45:00,3403.49,3405.948,3401.829,3404.467,2922
2025-04-21 12:00:00,3404.539,3406.754,3401.686,3402.702,2555
2025-04-21 12:15:00,3402.736,3407.927,3398.032,3398.532,5246
2025-04-21 12:30:00,3398.569,3407.383,3398.08,3407.28,3613
2025-04-21 12:45:00,3407.314,3415.767,3406.722,3414.884,4030
2025-04-21 13:00:00,3414.852,3424.457,3414.739,3420.742,7236
2025-04-21 13:15:00,3420.769,3421.702,3412.884,3416.633,4663
2025-04-21 13:30:00,3416.596,3420.481,3405.166,3416.818,9348
2025-04-21 13:45:00,3416.877,3426.809,3414.725,3420.546,6314
2025-04-21 14:00:00,3420.447,3430.303,3419.275,3426.532,5589
2025-04-21 14:15:00,3426.509,3429.455,3421.503,3426.572,6087
2025-04-21 14:30:00,3426.543,3427.66,3415.346,3418.207,6514
2025-04-21 14:45:00,3418.225,3418.893,3408.913,3416.731,5585
2025-04-21 15:00:00,3416.775,3418.665,3407.958,3412.073,5404
2025-04-21 15:15:00,3412.097,3421.13,3411.248,3420.836,4093
2025-04-21 15:30:00,3420.733,3426.168,3414.801,3423.489,4603
2025-04-21 15:45:00,3423.461,3424.287,3418.858,3422.965,3736
2025-04-21 16:00:00,3422.921,3424.067,3415.887,3416.636,3500
2025-04-21 16:15:00,3416.632,3417.198,3413.618,3414.524,3148
2025-04-21 16:30:00,3414.499,3415.666,3410.27,3413.125,2841
2025-04-21 16:45:00,3413.198,3416.114,3412.806,3414.62,2465
2025-04-21 17:00:00,3414.672,3415.072,3406.012,3409.066,3571
2025-04-21 17:15:00,3409.071,3415.306,3408.241,3414.032,3443
2025-04-21 17:30:00,3414.073,3421.257,3414.073,3417.927,2458
2025-04-21 17:45:00,3417.894,3422.952,3417.309,3422.531,2010
2025-04-21 18:00:00,3422.578,3424.859,3419.037,3419.769,2631
2025-04-21 18:15:00,3419.775,3425.03,3417.674,3424.886,2276
2025-04-21 18:30:00,3424.931,3426.683,3424.504,3425.833,1780
