Gmt time,Open,High,Low,Close,Volume
2023-04-21 15:00:00,1978.912,1979.753,1974.409,1975.846,7074
2023-04-21 16:00:00,1975.882,1978.534,1974.025,1977.473,5233
2023-04-21 17:00:00,1977.442,1980.706,1977.4,1980.601,3991
2023-04-21 18:00:00,1980.631,1982.496,1978.914,1979.144,3314
2023-04-21 19:00:00,1979.113,1983.001,1978.653,1982.674,3158
2023-04-21 20:00:00,1982.707,1983.615,1981.768,1982.924,2059
2023-04-23 22:00:00,1982.119,1984.011,1981.826,1984.011,1601
2023-04-23 23:00:00,1984.027,1985.381,1983.901,1984.657,1954
2023-04-24 00:00:00,1984.656,1984.656,1981.38,1983.852,3336
2023-04-24 01:00:00,1983.856,1984.623,1979.03,1979.483,5018
2023-04-24 02:00:00,1979.452,1983.294,1978.543,1980.267,4667
2023-04-24 03:00:00,1980.234,1981.47,1980.053,1980.825,3056
2023-04-24 04:00:00,1980.793,1981.231,1978.126,1979.584,2808
2023-04-24 05:00:00,1979.618,1979.822,1976.43,1978.592,4123
2023-04-24 06:00:00,1978.562,1981.62,1977.704,1979.01,5294
2023-04-24 07:00:00,1978.98,1983.161,1978.158,1982.699,5287
2023-04-24 08:00:00,1982.702,1985.233,1980.847,1985.085,4071
2023-04-24 09:00:00,1985.053,1986.919,1982.974,1983.111,4300
2023-04-24 10:00:00,1983.099,1985.411,1983.041,1983.663,3935
2023-04-24 11:00:00,1983.661,1985.34,1982.666,1983.077,3560
2023-04-24 12:00:00,1983.073,1984.551,1981.028,1983.826,6087
2023-04-24 13:00:00,1983.856,1985.005,1974.066,1977.918,9042
2023-04-24 14:00:00,1977.896,1987.248,1976.506,1982.468,8348
2023-04-24 15:00:00,1982.498,1985.459,1981.44,1984.805,5869
2023-04-24 16:00:00,1984.802,1987.721,1984.647,1986.652,4242
2023-04-24 17:00:00,1986.621,1990.856,1986.621,1989.545,4462
2023-04-24 18:00:00,1989.543,1990.342,1987.943,1989.78,3376
2023-04-24 19:00:00,1989.749,1989.86,1987.511,1988.748,3247
2023-04-24 20:00:00,1988.717,1989.474,1988.303,1989.123,1494
2023-04-24 22:00:00,1989.059,1993.508,1988.842,1992.646,2041
2023-04-24 23:00:00,1992.647,1996.533,1991.68,1995.053,2442
2023-04-25 00:00:00,1995.052,2000.87,1993.25,1996.885,3742
2023-04-25 01:00:00,1996.883,2000.626,1995.304,1997.188,6111
2023-04-25 02:00:00,1997.154,1998.312,1994.201,1994.792,4122
2023-04-25 03:00:00,1994.761,1996.513,1992.839,1992.841,3788
2023-04-25 04:00:00,1992.847,1993.842,1990.948,1991.097,2903
2023-04-25 05:00:00,1991.098,1995.739,1990.851,1995.524,3943
2023-04-25 06:00:00,1995.518,1996.925,1992.954,1994.302,4856
2023-04-25 07:00:00,1994.271,1997.237,1987.416,1990.235,6575
2023-04-25 08:00:00,1990.248,1991.067,1986.955,1988.523,4908
2023-04-25 09:00:00,1988.539,1990.906,1987.003,1988.129,4809
2023-04-25 10:00:00,1988.12,1988.47,1981.804,1982.175,5076
2023-04-25 11:00:00,1982.189,1982.83,1976.726,1977.582,6929
2023-04-25 12:00:00,1977.614,1994.55,1976.105,1992.999,10075
2023-04-25 13:00:00,1992.968,1993.699,1984.115,1985.179,10592
2023-04-25 14:00:00,1985.242,1989.241,1983.347,1985.863,9749
2023-04-25 15:00:00,1985.857,1990.709,1985.506,1989.967,5835
2023-04-25 16:00:00,1990.003,1991.754,1988.275,1990.6,5275
2023-04-25 17:00:00,1990.632,1999.662,1989.926,1999.032,8096
2023-04-25 18:00:00,1999.063,2003.868,1994.36,1995.77,7222
2023-04-25 19:00:00,1995.735,1999.394,1994.743,1999.182,4262
